tempo_s;viscosidade_cP;temperatura_C;viscosidade_teorica_cP;viscosidade_exp_adim;viscosidade_teo_adim
0;698.1;20.8;1185.0607947008914;0.5890837019683872;1.0
10;697.8;20.9;1173.035535280048;0.5888305503989981;0.9898526223510089
20;697.8;20.9;1173.035535280048;0.5888305503989981;0.9898526223510089
30;694.9;20.9;1173.035535280048;0.5863834185615704;0.9898526223510089
40;685.9;20.9;1173.035535280048;0.578788871479898;0.9898526223510089
50;685.9;20.9;1173.035535280048;0.578788871479898;0.9898526223510089
60;671.5;20.8;1185.0607947008914;0.5666375961492222;1.0
70;654.6;20.8;1185.0607947008914;0.5523767244069707;1.0
80;654.6;20.8;1185.0607947008914;0.5523767244069707;1.0
90;635.7;20.8;1185.0607947008914;0.5364281755354587;1.0
100;617.7;20.8;1185.0607947008914;0.521239081372114;1.0
110;617.7;20.8;1185.0607947008914;0.521239081372114;1.0
120;598.5;20.8;1185.0607947008914;0.505037380931213;1.0
130;581.4;20.8;1185.0607947008914;0.4906077414760354;1.0
140;591.4;20.9;1173.035535280048;0.49904612712233803;0.9898526223510089
150;564.5;21.0;1161.1589731579988;0.47634686973378393;0.9798307212171968
160;548.7;21.0;1161.1589731579988;0.4630142204126258;0.9798307212171968
170;548.7;21.1;1149.4290290909034;0.4630142204126258;0.9699325420524257
180;534.1;21.1;1149.4290290909034;0.45069417736902395;0.9699325420524257
190;518.6;21.2;1137.8436433176269;0.43761467961725486;0.9601563467508162
200;518.6;21.2;1137.8436433176269;0.43761467961725486;0.9601563467508162
210;504.7;21.2;1137.8436433176269;0.42588532356889414;0.9601563467508162
220;490.6;21.2;1137.8436433176269;0.41398719980760745;0.9601563467508162
230;490.6;21.2;1137.8436433176269;0.41398719980760745;0.9601563467508162
240;477.4;21.3;1126.4007754484153;0.40284853075448795;0.9505004135528069
250;464.1;21.3;1126.4007754484153;0.3916254778449055;0.9505004135528069
260;464.1;21.3;1126.4007754484153;0.3916254778449055;0.9505004135528069
270;451.3;21.4;1115.0984043539772;0.3808243442176381;0.9409630369515577
280;438.4;21.4;1115.0984043539772;0.36993882673390766;0.9409630369515577
290;438.4;21.5;1103.9345280547175;0.36993882673390766;0.9315425275994805
300;425.8;21.6;1092.9071636103477;0.35930646081956635;0.9222372122150887
310;415.7;21.6;1092.9071636103477;0.3507836913168007;0.9222372122150887
320;415.7;21.7;1082.0143470097478;0.3507836913168007;0.9130454334900578
330;404.0;21.7;1082.0143470097478;0.3409107801106266;0.9130454334900578
340;393.9;21.8;1071.2541330610954;0.33238801060786094;0.9039655499965125
350;393.9;21.8;1071.2541330610954;0.33238801060786094;0.9039655499965125
360;384.3;21.9;1060.624595282376;0.3242871603874104;0.8949959360946348
370;375.5;22.0;1050.1238257919981;0.31686138101866407;0.886134981840361
380;375.5;22.1;1039.7499351999215;0.31686138101866407;0.8773810928935116
390;367.5;22.1;1039.7499351999215;0.310110672501622;0.8773810928935116
400;359.9;22.2;1029.501052498884;0.30369749941043195;0.8687326904260042
410;359.9;22.3;1019.3753249560071;0.30369749941043195;0.8601882110303859
420;352.8;22.4;1009.3709180046859;0.2977062456015571;0.851746106628606
430;346.3;22.4;1009.3709180046859;0.2922212949314604;0.851746106628606
440;346.3;22.5;999.4860151367187;0.2922212949314604;0.843404844380991
450;339.8;22.6;989.718817794774;0.2867363442613637;0.8351629065955037
490;322.4;23.0;951.7917348219951;0.27205355323679703;0.803158571339141
510;316.9;23.2;933.4889654170094;0.2674124411313306;0.7877139886756792
520;312.6;23.2;933.4889654170094;0.2637839353034205;0.7877139886756792
540;307.4;23.5;906.822776545963;0.2593959747673431;0.765212030134576
550;303.4;23.5;906.822776545963;0.256020620508822;0.765212030134576
570;300.3;23.7;889.551472481261;0.2534047209584682;0.750637837703325
580;297.4;23.8;881.0628425354776;0.25095758912104044;0.7434748043941976
590;297.7;23.9;872.6701219836893;0.25121074069042953;0.7363927031304337
600;295.2;24.0;864.3717524479944;0.24910114427885388;0.7293902188926613
610;293.1;24.1;856.1661919224495;0.24732908329313036;0.7224660504767988
620;291.7;24.2;848.0519146700774;0.24614770930264795;0.7156189104071451
630;291.5;24.3;840.0274111201769;0.24597894158972192;0.7088475248497267
640;290.0;24.4;832.0911877659732;0.2447131837427765;0.7021506335259302
660;288.9;24.5;824.2417670624675;0.2437849613216832;0.6955269896263049
670;287.6;24.6;816.4776873246153;0.24268797118766391;0.6889753597246407
690;286.6;24.8;801.1997826966826;0.24184413262303364;0.676083274612848
700;285.7;24.9;793.6831128239505;0.24108467791486637;0.6697404186966421
710;285.7;24.9;793.6831128239505;0.24108467791486637;0.6697404186966421
730;284.6;25.1;778.8873415722924;0.24015645549377312;0.6572551763210452
740;284.6;25.1;778.8873415722924;0.24015645549377312;0.6572551763210452
750;284.3;25.2;771.6054876433722;0.23990330392438403;0.6511104671538179
760;284.1;25.3;764.3991784709951;0.239734536211458;0.6450295055655174
770;284.1;25.4;757.2670756186354;0.239734536211458;0.6390111621317868
780;284.0;25.4;757.2670756186354;0.23965015235499493;0.6390111621317868
790;284.1;25.5;750.2078556062157;0.239734536211458;0.6330543200490973
800;284.1;25.5;750.2078556062157;0.239734536211458;0.6330543200490973
810;284.1;25.6;743.2202098111603;0.239734536211458;0.6271578750512531
820;284.1;25.7;736.3028443697224;0.239734536211458;0.6213207353261271
830;284.1;25.7;736.3028443697224;0.239734536211458;0.6213207353261271
840;284.2;25.8;729.4544800785804;0.239818920067921;0.6155418214326247
850;284.1;25.8;729.4544800785804;0.239734536211458;0.6155418214326247
